site_id,osm_id,confidence,review,match
39031,842191667,0.59,1,citta
37642,610646326,0.77,1,paese
22750,604422624,0.6,1,citta
35660,1252953470,0.6,1,citta
25646,11174343662,0.71,1,citta
37666,528224467,1,0,citta
38994,637974284,0.65,1,citta
39901,636637537,0.67,1,citta
30172,637010624,0.75,1,citta
38743,637563942,0.73,1,citta
35655,133584277,0.93,0,citta
37593,636666204,1,0,citta
39900,636622936,0.5,1,citta
28499,299135566,1,1,paese
36939,224294929,1,0,citta
37692,227992744,0.56,1,citta
39335,251258945,0.59,1,citta
24710,1515000865,0.88,0,paese
31083,229030018,1,0,citta
31127,1136900687,0.78,1,paese
39909,764414123,0.52,1,citta
39029,366384765,1,0,citta
22804,204016437,0.91,0,citta
36532,965454463,1,0,citta
39378,376245533,1,0,citta
40330,863132417,0.77,1,citta
39409,1091881001,0.67,1,citta
31360,250927340,1,0,citta
31199,379799809,1,0,citta
42742,919035693,0.81,1,paese
30265,920643903,1,0,citta
34367,829361463,0.88,1,citta
33172,46699952,0.6,1,citta
36182,235398764,1,0,paese
37169,923292130,0.78,1,paese
28325,277644284,1,0,citta
31173,223632510,0.88,0,paese
39334,832648185,0.56,1,citta
31200,278910049,0.79,1,paese
36123,921145766,0.93,0,paese
35470,45777241,0.94,0,paese
31195,713061376,0.75,1,citta
35452,890178941,1,0,citta
35346,890178941,0.7,1,citta
28416,1225798270,1,0,citta
38309,367915037,0.89,1,citta
35045,448213063,0.81,1,paese
35887,12747322781,0.99,0,citta
35905,1426901664,0.57,1,citta
36069,394916884,0.73,1,citta
36063,394916884,0.69,1,citta
37423,929571969,0.53,1,citta
38287,548587584,0.79,1,citta
22937,49428623,0.78,1,citta
21852,1465156909,0.79,1,citta
39344,41998479,0.5,1,citta
21850,41998479,0.83,1,citta
28483,90966505,0.62,1,citta
27446,61720482,1,0,citta
22725,293636206,1,0,citta
22903,496908762,0.84,1,citta
22921,311238353,0.5,1,citta
22931,436080000,0.78,1,citta
42110,294781018,1,0,paese
22905,5132030280,1,0,paese
29531,360100142,1,0,paese
22950,1203844883,1,0,citta
22928,99982318,1,0,paese
23382,520625911,0.83,1,paese
31091,293245439,1,0,citta
31089,6572939,0.81,1,paese
40727,1069813803,0.77,1,paese
37410,990526146,0.8,1,citta
31092,360374867,1,0,paese
35740,407801093,1,0,citta
31098,1027612349,0.84,1,paese
31096,566360190,1,0,citta
37693,225470380,1,0,citta
40728,506141508,0.56,1,citta
28411,506141508,0.87,1,citta
28288,173328328,0.92,0,citta
21820,144697853,0.64,1,citta
26163,7874601398,1,0,citta
20684,1301674288,0.74,1,citta
22847,305717626,0.63,1,citta
30312,15937049,1,0,citta
38847,1665788092,1,0,citta
39497,923325707,0.55,1,citta
